response_definition,slice_type,slice_name,control_family,q_level,target_probability,lambda_threshold_discount,support_integrity_status,tiles,rows,high_flow_events,bootstrap_draws_requested,bootstrap_draws_valid,lambda_bootstrap_p05,lambda_bootstrap_p50,lambda_bootstrap_p95,lambda_positive_share,ci_status
mean_daily_mean_dis24,era,1995-2009,raw_state,0.95,0.1,0.9194214876033058,support_ok,130,21450,1002,100,84,0.8430309917355372,0.912365702479342,0.9625,1.0,ci_built
mean_daily_mean_dis24,era,1995-2009,raw_state,0.95,0.15,,invalid_lambda,130,21450,1002,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1995-2009,raw_state,0.975,0.05,0.8512396694214875,support_ok,130,21450,500,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1995-2009,raw_state,0.975,0.1,,invalid_lambda,130,21450,500,100,25,,,,,ci_support_limited
mean_daily_mean_dis24,era,1995-2009,raw_state,0.975,0.15,,invalid_lambda,130,21450,500,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1995-2009,rain_persistence_matched,0.8,0.05,-0.0082644628099173,support_ok,130,21450,4114,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1995-2009,rain_persistence_matched,0.8,0.1,-0.0082644628099173,support_ok,130,21450,4114,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1995-2009,rain_persistence_matched,0.8,0.15,-0.0082644628099173,support_ok,130,21450,4114,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1995-2009,rain_persistence_matched,0.85,0.05,-0.0082644628099173,support_ok,130,21450,3043,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1995-2009,rain_persistence_matched,0.85,0.1,-0.0082644628099173,support_ok,130,21450,3043,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1995-2009,rain_persistence_matched,0.85,0.15,-0.0082644628099173,support_ok,130,21450,3043,100,0,,,,,ci_not_run_by_scope
