null_family,draw,statistic,value
source_block_target_permutation,93,lag_family_full_r2,0.25524224181258637
lag_covariance_surrogate_features,93,lag_family_full_r2,0.17092728752249076
within_source_target_permutation,93,xi_star_r2,0.1297090045351489
within_source_target_permutation,94,lag_family_full_r2,0.49170215641051285
source_block_target_permutation,94,lag_family_full_r2,0.38900380862304695
lag_covariance_surrogate_features,94,lag_family_full_r2,0.07154365637413385
within_source_target_permutation,94,xi_star_r2,0.0007267046307758429
within_source_target_permutation,95,lag_family_full_r2,0.4338566135233226
source_block_target_permutation,95,lag_family_full_r2,0.2920637264436494
lag_covariance_surrogate_features,95,lag_family_full_r2,0.1176044002444756
within_source_target_permutation,95,xi_star_r2,0.01967159249760486
within_source_target_permutation,96,lag_family_full_r2,0.6171251851624073
source_block_target_permutation,96,lag_family_full_r2,0.11701599639644644
lag_covariance_surrogate_features,96,lag_family_full_r2,0.10512107954533201
within_source_target_permutation,96,xi_star_r2,0.07713693398096066
within_source_target_permutation,97,lag_family_full_r2,0.5243127217024481
source_block_target_permutation,97,lag_family_full_r2,0.48075593336836275
lag_covariance_surrogate_features,97,lag_family_full_r2,0.10572710647438277
within_source_target_permutation,97,xi_star_r2,0.008857476855411273
within_source_target_permutation,98,lag_family_full_r2,0.4381124637178646
source_block_target_permutation,98,lag_family_full_r2,0.4693498015655858
lag_covariance_surrogate_features,98,lag_family_full_r2,0.05031997754185602
within_source_target_permutation,98,xi_star_r2,0.09391059467978224
within_source_target_permutation,99,lag_family_full_r2,0.5315319281298718
source_block_target_permutation,99,lag_family_full_r2,0.24077036906479277
lag_covariance_surrogate_features,99,lag_family_full_r2,0.13709770185584935
within_source_target_permutation,99,xi_star_r2,0.06557490994561743
within_source_target_permutation,100,lag_family_full_r2,0.5866035117751346
source_block_target_permutation,100,lag_family_full_r2,0.30225305697341953
lag_covariance_surrogate_features,100,lag_family_full_r2,0.21127086524828498
within_source_target_permutation,100,xi_star_r2,0.1472103412762663
within_source_target_permutation,101,lag_family_full_r2,0.4093123205800947
source_block_target_permutation,101,lag_family_full_r2,0.11226680305179215
lag_covariance_surrogate_features,101,lag_family_full_r2,0.1068293067332381
within_source_target_permutation,101,xi_star_r2,0.009381172040405117
within_source_target_permutation,102,lag_family_full_r2,0.39319604595603774
source_block_target_permutation,102,lag_family_full_r2,0.32624334415361234
lag_covariance_surrogate_features,102,lag_family_full_r2,0.058971139330737166
within_source_target_permutation,102,xi_star_r2,0.0008468151178255834
within_source_target_permutation,103,lag_family_full_r2,0.5922074401597213
source_block_target_permutation,103,lag_family_full_r2,0.6210416783071501
lag_covariance_surrogate_features,103,lag_family_full_r2,0.30084522012418546
within_source_target_permutation,103,xi_star_r2,0.017935426186691195
within_source_target_permutation,104,lag_family_full_r2,0.4302966923852076
source_block_target_permutation,104,lag_family_full_r2,0.21214691434423139
lag_covariance_surrogate_features,104,lag_family_full_r2,0.1942677097986817
within_source_target_permutation,104,xi_star_r2,0.034454976031408235
within_source_target_permutation,105,lag_family_full_r2,0.518169513448573
source_block_target_permutation,105,lag_family_full_r2,0.3442921148246999
lag_covariance_surrogate_features,105,lag_family_full_r2,0.11704800645344038
within_source_target_permutation,105,xi_star_r2,0.0018154119139369707
within_source_target_permutation,106,lag_family_full_r2,0.5833601923232443
source_block_target_permutation,106,lag_family_full_r2,0.5345796880522962
lag_covariance_surrogate_features,106,lag_family_full_r2,0.190038526674836
within_source_target_permutation,106,xi_star_r2,0.0719115775570831
within_source_target_permutation,107,lag_family_full_r2,0.5372188152183162
source_block_target_permutation,107,lag_family_full_r2,0.41342843299398546
lag_covariance_surrogate_features,107,lag_family_full_r2,0.08127943854431008
within_source_target_permutation,107,xi_star_r2,0.04070637900888441
within_source_target_permutation,108,lag_family_full_r2,0.5391427190664967
source_block_target_permutation,108,lag_family_full_r2,0.48079765042020595
lag_covariance_surrogate_features,108,lag_family_full_r2,0.2697091700047478
within_source_target_permutation,108,xi_star_r2,0.17224818837546862
within_source_target_permutation,109,lag_family_full_r2,0.44682235626794486
source_block_target_permutation,109,lag_family_full_r2,0.6360046361503601
lag_covariance_surrogate_features,109,lag_family_full_r2,0.05576669010693114
within_source_target_permutation,109,xi_star_r2,0.06531067517274969
within_source_target_permutation,110,lag_family_full_r2,0.4539796854633833
