station_id,tile_id,country,river,station,latitude,longitude,catchment_area_km2,point_geometry_available,polygon_geometry_available,geometry_readiness
1196360,LAT-030.0_-020.0_LON+0020.0_+0030.0,ZA,MOKOLO,ZANDRIVIER (27546002),-24.28629974,28.09553275,1801.0,True,False,station_point_only
1196370,LAT-030.0_-020.0_LON+0020.0_+0030.0,ZA,STERKSTROOM,DOORNSPRUIT (27546008),-24.21681628,27.97320759,499.0,True,False,station_point_only
1196380,LAT-030.0_-020.0_LON+0020.0_+0030.0,ZA,TAMBOTIERIVIER,BLAKENEY (27546007),-23.76388614,27.90899718,399.0,True,False,station_point_only
1196405,LAT-030.0_-020.0_LON+0020.0_+0030.0,ZA,LIMPOPO RIVER,BOTSWANA,-22.93476395,28.00392156,98240.0,True,False,station_point_only
1196410,LAT-030.0_-020.0_LON+0020.0_+0030.0,ZA,KROKODILRIVIER,ZWARTKOP (27547050),-25.99142,27.84211,149.0,True,False,station_point_only
1196413,LAT-030.0_-020.0_LON+0020.0_+0030.0,ZA,CROCODILE,KALKHEUWEL,-25.81056,27.90983,2551.0,True,False,station_point_only
1196425,LAT-030.0_-020.0_LON+0020.0_+0030.0,ZA,SELONSRIVIER,MOEDWIL (27547032),-25.6375,27.02703,517.0,True,False,station_point_only
1196440,LAT-030.0_-020.0_LON+0020.0_+0030.0,ZA,CROCODILE,VAALKOP,-25.20631,27.55794,12674.0,True,False,station_point_only
1196441,LAT-030.0_-020.0_LON+0020.0_+0030.0,ZA,PIENAARS RIVER,BAVIAANSPOORT,-25.66361,28.35131,357.0,True,False,station_point_only
1196443,LAT-030.0_-020.0_LON+0020.0_+0030.0,ZA,PIENAARS RIVER,KLIPDRIFT,-25.38022,28.3165,1028.0,True,False,station_point_only
1196445,LAT-030.0_-020.0_LON+0020.0_+0030.0,ZA,APIESRIVIER,RONDAVEL,-25.47086,28.26378,625.0,True,False,station_point_only
1196447,LAT-030.0_-020.0_LON+0020.0_+0030.0,ZA,PIENAARS RIVER,BUFFELSPOORT,-25.12856,27.62858,7483.0,True,False,station_point_only
1196561,LAT-030.0_-020.0_LON+0020.0_+0030.0,ZA,OLIFANTSPRUIT,OLIFANTSPOORT (27544012),-24.665278,28.475,120.0,True,False,station_point_only
1196570,LAT-030.0_-020.0_LON+0020.0_+0030.0,ZA,LEPHALALA,MUISVOGELKRAAL (27545004),-23.98181831,28.39993548,638.0,True,False,station_point_only
1196710,LAT-030.0_-020.0_LON+0030.0_+0040.0,ZA,BLYDERIVIER,DRIEHOEK,-24.51752,30.83174,2204.0,True,False,station_point_only
1197001,LAT-030.0_-020.0_LON+0030.0_+0040.0,ZA,RIOINCOMATI,TONGA (27613103),-25.68225,31.78188889,8864.0,True,False,station_point_only
1197010,LAT-030.0_-020.0_LON+0030.0_+0040.0,ZA,RIOINCOMATI,GEMSBOKHOEK,-25.83811111,30.41277778,2611.0,True,False,station_point_only
1197090,LAT-030.0_-020.0_LON+0030.0_+0040.0,ZA,RIOINCOMATI,KOMATIPOORT,-25.43661111,31.98244444,21652.0,True,False,station_point_only
1197300,LAT-030.0_-020.0_LON+0030.0_+0040.0,ZA,RIOINCOMATI,HOOGGENOEG (27613101),-26.03616667,30.99761111,5540.0,True,False,station_point_only
1197310,LAT-030.0_-020.0_LON+0030.0_+0040.0,ZA,MLUMATI,LOMATI (27613114),-25.67386111,31.57527778,1122.0,True,False,station_point_only
1197500,LAT-030.0_-020.0_LON+0030.0_+0040.0,ZA,KROKODILRIVIER,TENBOSCH (27613216),-25.36386111,31.95572222,10379.0,True,False,station_point_only
